Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
SLIDELL MEMORIAL HOSPITAL,190040,LA,READM-30-CABG-HRRP,,,1.0268,11.6019,11.2988,,2020-07-01,2023-06-30
SLIDELL MEMORIAL HOSPITAL,190040,LA,READM-30-AMI-HRRP,106.0,,0.9994,14.1764,14.1843,15.0,2020-07-01,2023-06-30
CHRISTUS SHREVEPORT-BOSSIER HEALTH SYSTEM,190041,LA,READM-30-PN-HRRP,352.0,,1.0715,17.4064,16.2444,66.0,2020-07-01,2023-06-30
CHRISTUS SHREVEPORT-BOSSIER HEALTH SYSTEM,190041,LA,READM-30-HIP-KNEE-HRRP,,,0.8831,4.4495,5.0388,,2020-07-01,2023-06-30
CHRISTUS SHREVEPORT-BOSSIER HEALTH SYSTEM,190041,LA,READM-30-HF-HRRP,548.0,,0.8916,17.3278,19.4338,87.0,2020-07-01,2023-06-30
CHRISTUS SHREVEPORT-BOSSIER HEALTH SYSTEM,190041,LA,READM-30-COPD-HRRP,113.0,,1.034,16.819,16.2665,21.0,2020-07-01,2023-06-30
CHRISTUS SHREVEPORT-BOSSIER HEALTH SYSTEM,190041,LA,READM-30-CABG-HRRP,147.0,,1.2164,12.6058,10.363,25.0,2020-07-01,2023-06-30
CHRISTUS SHREVEPORT-BOSSIER HEALTH SYSTEM,190041,LA,READM-30-AMI-HRRP,186.0,,1.0535,14.2319,13.5091,29.0,2020-07-01,2023-06-30
ACADIA GENERAL HOSPITAL,190044,LA,READM-30-PN-HRRP,164.0,,0.9315,14.4576,15.5205,19.0,2020-07-01,2023-06-30
ACADIA GENERAL HOSPITAL,190044,LA,READM-30-HIP-KNEE-HRRP,,,0.943,4.7225,5.0078,,2020-07-01,2023-06-30
ACADIA GENERAL HOSPITAL,190044,LA,READM-30-HF-HRRP,,,0.9349,17.4859,18.7028,,2020-07-01,2023-06-30
ACADIA GENERAL HOSPITAL,190044,LA,READM-30-COPD-HRRP,84.0,,0.9889,17.4701,17.6654,14.0,2020-07-01,2023-06-30
ST TAMMANY PARISH HOSPITAL,190045,LA,READM-30-PN-HRRP,237.0,,0.951,16.2068,17.042,35.0,2020-07-01,2023-06-30
ST TAMMANY PARISH HOSPITAL,190045,LA,READM-30-HF-HRRP,442.0,,0.9236,18.2211,19.7291,75.0,2020-07-01,2023-06-30
ST TAMMANY PARISH HOSPITAL,190045,LA,READM-30-COPD-HRRP,110.0,,0.9826,19.1762,19.5163,20.0,2020-07-01,2023-06-30
ST TAMMANY PARISH HOSPITAL,190045,LA,READM-30-CABG-HRRP,69.0,,1.1281,11.6083,10.2901,12.0,2020-07-01,2023-06-30
ST TAMMANY PARISH HOSPITAL,190045,LA,READM-30-AMI-HRRP,163.0,,0.929,13.2217,14.2324,18.0,2020-07-01,2023-06-30
TOURO INFIRMARY,190046,LA,READM-30-PN-HRRP,122.0,,1.0812,18.4984,17.1087,28.0,2020-07-01,2023-06-30
TOURO INFIRMARY,190046,LA,READM-30-HIP-KNEE-HRRP,,,0.9772,3.9172,4.0085,,2020-07-01,2023-06-30
TOURO INFIRMARY,190046,LA,READM-30-HF-HRRP,146.0,,0.9739,19.0793,19.5906,26.0,2020-07-01,2023-06-30
TOURO INFIRMARY,190046,LA,READM-30-COPD-HRRP,,,1.0017,21.5415,21.5058,,2020-07-01,2023-06-30
TOURO INFIRMARY,190046,LA,READM-30-CABG-HRRP,,,1.0361,10.0887,9.7376,,2020-07-01,2023-06-30
TOURO INFIRMARY,190046,LA,READM-30-AMI-HRRP,,,0.9927,13.9273,14.0302,,2020-07-01,2023-06-30
BEAUREGARD MEMORIAL HOSPITAL,190050,LA,READM-30-PN-HRRP,139.0,,1.0084,16.1414,16.0073,23.0,2020-07-01,2023-06-30
BEAUREGARD MEMORIAL HOSPITAL,190050,LA,READM-30-HF-HRRP,79.0,,1.0182,19.8983,19.5421,17.0,2020-07-01,2023-06-30
BEAUREGARD MEMORIAL HOSPITAL,190050,LA,READM-30-COPD-HRRP,,,0.9839,15.5235,15.7783,,2020-07-01,2023-06-30
OCHSNER AMERICAN LEGION HOSPITAL,190053,LA,READM-30-PN-HRRP,141.0,,1.0158,15.572,15.3305,23.0,2020-07-01,2023-06-30
OCHSNER AMERICAN LEGION HOSPITAL,190053,LA,READM-30-HF-HRRP,124.0,,1.1225,20.1186,17.9222,33.0,2020-07-01,2023-06-30
OCHSNER AMERICAN LEGION HOSPITAL,190053,LA,READM-30-COPD-HRRP,70.0,,1.0013,17.0255,17.0026,12.0,2020-07-01,2023-06-30
IBERIA MEDICAL CENTER,190054,LA,READM-30-PN-HRRP,163.0,,0.9456,14.5391,15.3763,20.0,2020-07-01,2023-06-30
IBERIA MEDICAL CENTER,190054,LA,READM-30-HIP-KNEE-HRRP,,,0.9423,3.9269,4.1673,,2020-07-01,2023-06-30
IBERIA MEDICAL CENTER,190054,LA,READM-30-HF-HRRP,213.0,,0.9526,18.0172,18.9128,35.0,2020-07-01,2023-06-30
IBERIA MEDICAL CENTER,190054,LA,READM-30-COPD-HRRP,,,0.9821,16.5358,16.8376,,2020-07-01,2023-06-30
IBERIA MEDICAL CENTER,190054,LA,READM-30-AMI-HRRP,,,1.0204,13.2794,13.0144,,2020-07-01,2023-06-30
LAKE CHARLES MEMORIAL HOSPITAL,190060,LA,READM-30-PN-HRRP,300.0,,0.9859,15.9856,16.2145,47.0,2020-07-01,2023-06-30
LAKE CHARLES MEMORIAL HOSPITAL,190060,LA,READM-30-HF-HRRP,381.0,,1.0293,20.4601,19.8768,80.0,2020-07-01,2023-06-30
LAKE CHARLES MEMORIAL HOSPITAL,190060,LA,READM-30-COPD-HRRP,,,0.9342,16.3825,17.5359,,2020-07-01,2023-06-30
LAKE CHARLES MEMORIAL HOSPITAL,190060,LA,READM-30-CABG-HRRP,,,0.9483,9.7116,10.2407,,2020-07-01,2023-06-30
LAKE CHARLES MEMORIAL HOSPITAL,190060,LA,READM-30-AMI-HRRP,,,0.8602,10.5421,12.2558,,2020-07-01,2023-06-30
OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,190064,LA,READM-30-PN-HRRP,490.0,,0.9237,13.9262,15.0763,63.0,2020-07-01,2023-06-30
OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,190064,LA,READM-30-HF-HRRP,714.0,,0.9739,17.7624,18.2391,125.0,2020-07-01,2023-06-30
OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,190064,LA,READM-30-COPD-HRRP,147.0,,0.867,15.3172,17.6678,14.0,2020-07-01,2023-06-30
OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,190064,LA,READM-30-CABG-HRRP,,,0.8423,8.6251,10.24,,2020-07-01,2023-06-30
OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,190064,LA,READM-30-AMI-HRRP,201.0,,0.9164,12.5143,13.6564,21.0,2020-07-01,2023-06-30
BATON ROUGE GENERAL MEDICAL CENTER,190065,LA,READM-30-PN-HRRP,325.0,,0.983,15.7405,16.0127,50.0,2020-07-01,2023-06-30
BATON ROUGE GENERAL MEDICAL CENTER,190065,LA,READM-30-HIP-KNEE-HRRP,189.0,,1.1632,5.8417,5.0221,13.0,2020-07-01,2023-06-30
BATON ROUGE GENERAL MEDICAL CENTER,190065,LA,READM-30-HF-HRRP,427.0,,0.9543,17.8527,18.7078,73.0,2020-07-01,2023-06-30
BATON ROUGE GENERAL MEDICAL CENTER,190065,LA,READM-30-COPD-HRRP,,,0.9572,16.3493,17.0809,,2020-07-01,2023-06-30
BATON ROUGE GENERAL MEDICAL CENTER,190065,LA,READM-30-CABG-HRRP,,,0.9299,12.0921,13.0039,,2020-07-01,2023-06-30
BATON ROUGE GENERAL MEDICAL CENTER,190065,LA,READM-30-AMI-HRRP,101.0,,0.9524,13.2,13.859,11.0,2020-07-01,2023-06-30
NORTHERN LOUISIANA MEDICAL CENTER,190086,LA,READM-30-PN-HRRP,149.0,,0.9677,14.8926,15.3894,20.0,2020-07-01,2023-06-30
NORTHERN LOUISIANA MEDICAL CENTER,190086,LA,READM-30-HF-HRRP,204.0,,0.9693,17.226,17.7714,33.0,2020-07-01,2023-06-30
NORTHERN LOUISIANA MEDICAL CENTER,190086,LA,READM-30-COPD-HRRP,,,1.0166,16.261,15.9956,,2020-07-01,2023-06-30
NORTHERN LOUISIANA MEDICAL CENTER,190086,LA,READM-30-AMI-HRRP,,,1.0138,12.7287,12.5558,,2020-07-01,2023-06-30
SPRINGHILL MEDICAL CENTER,190088,LA,READM-30-PN-HRRP,71.0,,0.9972,15.7552,15.7989,11.0,2020-07-01,2023-06-30
SPRINGHILL MEDICAL CENTER,190088,LA,READM-30-HF-HRRP,49.0,,1.0293,18.4138,17.89,11.0,2020-07-01,2023-06-30
WINN PARISH MEDICAL CENTER,190090,LA,READM-30-PN-HRRP,88.0,,1.0572,15.1392,14.3197,17.0,2020-07-01,2023-06-30
WINN PARISH MEDICAL CENTER,190090,LA,READM-30-COPD-HRRP,,,0.9653,16.4975,17.0898,,2020-07-01,2023-06-30
OCHSNER LSU HEALTH SHREVEPORT,190098,LA,READM-30-PN-HRRP,,,0.9834,16.1342,16.407,,2020-07-01,2023-06-30
OCHSNER LSU HEALTH SHREVEPORT,190098,LA,READM-30-HF-HRRP,119.0,,0.9151,19.6155,21.4349,17.0,2020-07-01,2023-06-30
OCHSNER LSU HEALTH SHREVEPORT,190098,LA,READM-30-COPD-HRRP,,,0.9449,18.5797,19.6623,,2020-07-01,2023-06-30
OCHSNER LSU HEALTH SHREVEPORT,190098,LA,READM-30-AMI-HRRP,,,1.0198,16.2701,15.9544,,2020-07-01,2023-06-30
AVOYELLES HOSPITAL,190099,LA,READM-30-PN-HRRP,73.0,,1.0574,14.192,13.4219,14.0,2020-07-01,2023-06-30
AVOYELLES HOSPITAL,190099,LA,READM-30-HF-HRRP,46.0,,1.0604,17.4413,16.448,12.0,2020-07-01,2023-06-30
AVOYELLES HOSPITAL,190099,LA,READM-30-COPD-HRRP,,,0.9795,12.7052,12.9712,,2020-07-01,2023-06-30
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",190102,LA,READM-30-PN-HRRP,596.0,,0.9389,14.4627,15.4043,82.0,2020-07-01,2023-06-30
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",190102,LA,READM-30-HF-HRRP,717.0,,1.0457,19.5079,18.6551,143.0,2020-07-01,2023-06-30
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",190102,LA,READM-30-COPD-HRRP,143.0,,0.9522,16.0257,16.8294,20.0,2020-07-01,2023-06-30
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",190102,LA,READM-30-CABG-HRRP,184.0,,1.113,11.651,10.468,25.0,2020-07-01,2023-06-30
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",190102,LA,READM-30-AMI-HRRP,366.0,,0.9756,12.6161,12.9312,45.0,2020-07-01,2023-06-30
OAKDALE COMMUNITY HOSPITAL,190106,LA,READM-30-PN-HRRP,,,0.9994,14.9757,14.9844,,2020-07-01,2023-06-30
OAKDALE COMMUNITY HOSPITAL,190106,LA,READM-30-HF-HRRP,,,0.9812,19.7926,20.1715,,2020-07-01,2023-06-30
WILLIS KNIGHTON MEDICAL CENTER,190111,LA,READM-30-PN-HRRP,1054.0,,1.0388,16.4542,15.8394,176.0,2020-07-01,2023-06-30
WILLIS KNIGHTON MEDICAL CENTER,190111,LA,READM-30-HIP-KNEE-HRRP,,,0.8544,4.6919,5.4913,,2020-07-01,2023-06-30
WILLIS KNIGHTON MEDICAL CENTER,190111,LA,READM-30-HF-HRRP,1294.0,,1.0085,20.7415,20.5671,269.0,2020-07-01,2023-06-30
WILLIS KNIGHTON MEDICAL CENTER,190111,LA,READM-30-COPD-HRRP,607.0,,0.9098,17.2643,18.9768,99.0,2020-07-01,2023-06-30
WILLIS KNIGHTON MEDICAL CENTER,190111,LA,READM-30-CABG-HRRP,194.0,,1.064,10.8063,10.1558,23.0,2020-07-01,2023-06-30
WILLIS KNIGHTON MEDICAL CENTER,190111,LA,READM-30-AMI-HRRP,420.0,,1.1277,14.5802,12.9289,67.0,2020-07-01,2023-06-30
CLAIBORNE MEMORIAL MEDICAL CENTER,190114,LA,READM-30-PN-HRRP,136.0,,0.9566,13.9062,14.537,16.0,2020-07-01,2023-06-30
CLAIBORNE MEMORIAL MEDICAL CENTER,190114,LA,READM-30-HF-HRRP,45.0,,1.0412,18.2314,17.5102,11.0,2020-07-01,2023-06-30
MOREHOUSE GENERAL HOSPITAL,190116,LA,READM-30-PN-HRRP,64.0,,1.0304,14.128,13.7111,11.0,2020-07-01,2023-06-30
MOREHOUSE GENERAL HOSPITAL,190116,LA,READM-30-HF-HRRP,47.0,,1.0515,18.194,17.3021,12.0,2020-07-01,2023-06-30
DESOTO REGIONAL HEALTH SYSTEM,190118,LA,READM-30-PN-HRRP,,,1.0072,14.1176,14.0172,,2020-07-01,2023-06-30
DESOTO REGIONAL HEALTH SYSTEM,190118,LA,READM-30-HF-HRRP,,,0.987,16.8174,17.0394,,2020-07-01,2023-06-30
ST FRANCIS MEDICAL CENTER,190125,LA,READM-30-PN-HRRP,384.0,,1.0141,15.3821,15.1682,60.0,2020-07-01,2023-06-30
ST FRANCIS MEDICAL CENTER,190125,LA,READM-30-HF-HRRP,415.0,,0.9822,18.856,19.1978,77.0,2020-07-01,2023-06-30
ST FRANCIS MEDICAL CENTER,190125,LA,READM-30-COPD-HRRP,99.0,,0.9834,17.1818,17.4716,16.0,2020-07-01,2023-06-30
ST FRANCIS MEDICAL CENTER,190125,LA,READM-30-CABG-HRRP,,,0.9767,9.1512,9.3699,,2020-07-01,2023-06-30
ST FRANCIS MEDICAL CENTER,190125,LA,READM-30-AMI-HRRP,292.0,,0.9532,12.4241,13.0339,34.0,2020-07-01,2023-06-30
ALLEN PARISH HOSPITAL,190133,LA,READM-30-PN-HRRP,,,1.0064,13.7831,13.695,,2020-07-01,2023-06-30
FRANKLIN MEDICAL CENTER,190140,LA,READM-30-PN-HRRP,88.0,,0.981,13.9215,14.1905,11.0,2020-07-01,2023-06-30
FRANKLIN MEDICAL CENTER,190140,LA,READM-30-HF-HRRP,,,1.0632,21.6422,20.3554,,2020-07-01,2023-06-30
MINDEN MEDICAL CENTER,190144,LA,READM-30-PN-HRRP,141.0,,1.0004,15.5859,15.5804,22.0,2020-07-01,2023-06-30
MINDEN MEDICAL CENTER,190144,LA,READM-30-HF-HRRP,90.0,,0.9911,18.4642,18.6301,16.0,2020-07-01,2023-06-30
MINDEN MEDICAL CENTER,190144,LA,READM-30-COPD-HRRP,,,1.0029,14.7297,14.6868,,2020-07-01,2023-06-30
LASALLE GENERAL HOSPITAL,190145,LA,READM-30-PN-HRRP,,,0.9982,15.5689,15.5965,,2020-07-01,2023-06-30
LASALLE GENERAL HOSPITAL,190145,LA,READM-30-HF-HRRP,,,1.0006,16.5213,16.5107,,2020-07-01,2023-06-30
RICHARDSON MEDICAL CENTER,190151,LA,READM-30-PN-HRRP,,,0.9705,14.2395,14.6726,,2020-07-01,2023-06-30
RICHARDSON MEDICAL CENTER,190151,LA,READM-30-HF-HRRP,,,0.9627,15.8094,16.4217,,2020-07-01,2023-06-30
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-PN-HRRP,362.0,,1.0479,16.8,16.032,64.0,2020-07-01,2023-06-30
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-HIP-KNEE-HRRP,,,0.9853,4.9302,5.0039,,2020-07-01,2023-06-30
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-HF-HRRP,514.0,,1.1909,22.6572,19.0247,129.0,2020-07-01,2023-06-30
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-COPD-HRRP,124.0,,1.0027,17.6074,17.5592,22.0,2020-07-01,2023-06-30
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-CABG-HRRP,,,1.1207,10.1041,9.0159,,2020-07-01,2023-06-30
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-AMI-HRRP,288.0,,1.2206,16.0764,13.171,56.0,2020-07-01,2023-06-30
BYRD REGIONAL HOSPITAL,190164,LA,READM-30-PN-HRRP,135.0,,0.99,16.8073,16.9779,22.0,2020-07-01,2023-06-30
BYRD REGIONAL HOSPITAL,190164,LA,READM-30-HF-HRRP,135.0,,0.9747,19.8688,20.3847,25.0,2020-07-01,2023-06-30
BYRD REGIONAL HOSPITAL,190164,LA,READM-30-COPD-HRRP,77.0,,1.0054,19.0436,18.9409,15.0,2020-07-01,2023-06-30
BYRD REGIONAL HOSPITAL,190164,LA,READM-30-AMI-HRRP,,,1.0202,19.9266,19.5329,,2020-07-01,2023-06-30
MERCY REGIONAL MEDICAL CENTER,190167,LA,READM-30-PN-HRRP,255.0,,0.9989,14.931,14.9477,38.0,2020-07-01,2023-06-30
MERCY REGIONAL MEDICAL CENTER,190167,LA,READM-30-HF-HRRP,58.0,,1.0039,18.4994,18.4279,11.0,2020-07-01,2023-06-30
MERCY REGIONAL MEDICAL CENTER,190167,LA,READM-30-COPD-HRRP,,,0.9296,15.4063,16.5721,,2020-07-01,2023-06-30
EAST JEFFERSON GENERAL HOSPITAL,190176,LA,READM-30-PN-HRRP,256.0,,1.0124,16.8585,16.6517,44.0,2020-07-01,2023-06-30
EAST JEFFERSON GENERAL HOSPITAL,190176,LA,READM-30-HIP-KNEE-HRRP,,,0.8848,4.1888,4.7344,,2020-07-01,2023-06-30
EAST JEFFERSON GENERAL HOSPITAL,190176,LA,READM-30-HF-HRRP,338.0,,1.1079,22.3718,20.1933,83.0,2020-07-01,2023-06-30
EAST JEFFERSON GENERAL HOSPITAL,190176,LA,READM-30-COPD-HRRP,62.0,,1.0613,21.2394,20.0136,17.0,2020-07-01,2023-06-30
EAST JEFFERSON GENERAL HOSPITAL,190176,LA,READM-30-CABG-HRRP,,,1.0273,10.1456,9.876,,2020-07-01,2023-06-30
EAST JEFFERSON GENERAL HOSPITAL,190176,LA,READM-30-AMI-HRRP,124.0,,1.104,15.4757,14.0173,24.0,2020-07-01,2023-06-30
LEONARD J CHABERT MEDICAL CENTER,190183,LA,READM-30-PN-HRRP,,,1.0226,14.6336,14.3107,,2020-07-01,2023-06-30
LEONARD J CHABERT MEDICAL CENTER,190183,LA,READM-30-HF-HRRP,58.0,,0.9865,20.6269,20.9085,11.0,2020-07-01,2023-06-30
CITIZENS MEDICAL CENTER,190184,LA,READM-30-PN-HRRP,,,1.0528,15.2906,14.5244,,2020-07-01,2023-06-30
CITIZENS MEDICAL CENTER,190184,LA,READM-30-HF-HRRP,,,1.0061,19.418,19.3006,,2020-07-01,2023-06-30
CITIZENS MEDICAL CENTER,190184,LA,READM-30-COPD-HRRP,,,0.9431,14.9816,15.886,,2020-07-01,2023-06-30
"CALDWELL MEMORIAL HOSPITAL, INC",190190,LA,READM-30-HF-HRRP,,,0.9953,18.5971,18.6843,,2020-07-01,2023-06-30
OCHSNER MEDICAL CENTER - BATON ROUGE,190202,LA,READM-30-PN-HRRP,113.0,,1.0801,17.4888,16.1923,25.0,2020-07-01,2023-06-30
OCHSNER MEDICAL CENTER - BATON ROUGE,190202,LA,READM-30-HF-HRRP,181.0,,1.0061,20.2046,20.0826,37.0,2020-07-01,2023-06-30
OCHSNER MEDICAL CENTER - BATON ROUGE,190202,LA,READM-30-COPD-HRRP,,,1.0008,19.4554,19.4395,,2020-07-01,2023-06-30
OCHSNER MEDICAL CENTER - BATON ROUGE,190202,LA,READM-30-AMI-HRRP,,,0.9551,13.1861,13.8064,,2020-07-01,2023-06-30
EAST CARROLL PARISH HOSPITAL,190208,LA,READM-30-COPD-HRRP,58.0,,1.1385,19.2363,16.8956,19.0,2020-07-01,2023-06-30
SABINE MEDICAL CENTER,190218,LA,READM-30-PN-HRRP,,,0.9654,13.8954,14.394,,2020-07-01,2023-06-30
SURGICAL SPECIALTY CENTER OF BATON ROUGE,190251,LA,READM-30-HIP-KNEE-HRRP,,,0.9572,3.3606,3.5108,,2020-07-01,2023-06-30
STERLING SURGICAL HOSPITAL,190256,LA,READM-30-HIP-KNEE-HRRP,,,1.0198,4.4366,4.3505,,2020-07-01,2023-06-30
LAFAYETTE SURGICAL SPECIALTY HOSPITAL,190259,LA,READM-30-HIP-KNEE-HRRP,,,0.9929,3.6777,3.7038,,2020-07-01,2023-06-30
AVALA,190267,LA,READM-30-HIP-KNEE-HRRP,,,0.9886,5.2507,5.3114,,2020-07-01,2023-06-30
OCHSNER MEDICAL CENTER-KENNER,190274,LA,READM-30-PN-HRRP,86.0,,0.9736,14.8612,15.2649,11.0,2020-07-01,2023-06-30
OCHSNER MEDICAL CENTER-KENNER,190274,LA,READM-30-HF-HRRP,129.0,,0.9799,19.7134,20.1168,24.0,2020-07-01,2023-06-30
OCHSNER MEDICAL CENTER-KENNER,190274,LA,READM-30-COPD-HRRP,,,0.9666,21.3611,22.1003,,2020-07-01,2023-06-30
OCHSNER MEDICAL CENTER-KENNER,190274,LA,READM-30-AMI-HRRP,51.0,,1.0787,14.3828,13.3333,11.0,2020-07-01,2023-06-30
SPECIALISTS HOSPITAL SHREVEPORT,190278,LA,READM-30-HIP-KNEE-HRRP,,,1.0769,4.9303,4.5781,,2020-07-01,2023-06-30
CHRISTUS CENTRAL LOUISIANA SURGICAL HOSPITAL,190298,LA,READM-30-HIP-KNEE-HRRP,247.0,,1.317,6.2475,4.7437,19.0,2020-07-01,2023-06-30
CYPRESS POINTE SURGICAL HOSPITAL,190303,LA,READM-30-HIP-KNEE-HRRP,,,0.9779,4.1396,4.2334,,2020-07-01,2023-06-30
ST BERNARD PARISH HOSPITAL,190308,LA,READM-30-PN-HRRP,,,0.9646,14.7262,15.2671,,2020-07-01,2023-06-30
ST BERNARD PARISH HOSPITAL,190308,LA,READM-30-HF-HRRP,,,1.0345,18.9968,18.3625,,2020-07-01,2023-06-30
OUR LADY OF THE ANGELS HOSPITAL,190312,LA,READM-30-PN-HRRP,,,0.9797,18.3514,18.7323,,2020-07-01,2023-06-30
OUR LADY OF THE ANGELS HOSPITAL,190312,LA,READM-30-HF-HRRP,46.0,,1.0192,20.9543,20.5592,11.0,2020-07-01,2023-06-30
OUR LADY OF THE ANGELS HOSPITAL,190312,LA,READM-30-COPD-HRRP,,,0.9809,15.3214,15.6191,,2020-07-01,2023-06-30
THE GENERAL,190316,LA,READM-30-PN-HRRP,,,1.0186,13.8443,13.5919,,2020-07-01,2023-06-30
THE GENERAL,190316,LA,READM-30-HF-HRRP,,,1.0,17.2372,17.2369,,2020-07-01,2023-06-30
ACADIAN MEDICAL CENTER,190318,LA,READM-30-PN-HRRP,112.0,,0.9406,13.4085,14.2551,11.0,2020-07-01,2023-06-30
ACADIAN MEDICAL CENTER,190318,LA,READM-30-HF-HRRP,44.0,,1.08,19.5873,18.1371,14.0,2020-07-01,2023-06-30
ACADIAN MEDICAL CENTER,190318,LA,READM-30-COPD-HRRP,,,0.98,17.355,17.709,,2020-07-01,2023-06-30
ST JOSEPH HOSPITAL,200001,ME,READM-30-PN-HRRP,239.0,,1.1061,16.0171,14.4806,45.0,2020-07-01,2023-06-30
ST JOSEPH HOSPITAL,200001,ME,READM-30-HIP-KNEE-HRRP,,,0.9061,5.7634,6.3609,,2020-07-01,2023-06-30
ST JOSEPH HOSPITAL,200001,ME,READM-30-HF-HRRP,147.0,,1.0032,19.5747,19.5121,29.0,2020-07-01,2023-06-30
ST JOSEPH HOSPITAL,200001,ME,READM-30-COPD-HRRP,66.0,,1.0215,19.1842,18.7807,14.0,2020-07-01,2023-06-30
ST JOSEPH HOSPITAL,200001,ME,READM-30-AMI-HRRP,,,0.978,13.9623,14.276,,2020-07-01,2023-06-30
NORTHERN LIGHT HEALTH,200008,ME,READM-30-PN-HRRP,123.0,,0.9971,14.7894,14.8322,18.0,2020-07-01,2023-06-30
NORTHERN LIGHT HEALTH,200008,ME,READM-30-HF-HRRP,118.0,,1.02,18.3371,17.9769,23.0,2020-07-01,2023-06-30
NORTHERN LIGHT HEALTH,200008,ME,READM-30-COPD-HRRP,,,0.9563,15.3556,16.0575,,2020-07-01,2023-06-30
MAINE MEDICAL CENTER,200009,ME,READM-30-PN-HRRP,428.0,,0.8983,14.2944,15.9124,54.0,2020-07-01,2023-06-30
MAINE MEDICAL CENTER,200009,ME,READM-30-HIP-KNEE-HRRP,269.0,,0.8794,4.7054,5.3507,11.0,2020-07-01,2023-06-30
MAINE MEDICAL CENTER,200009,ME,READM-30-HF-HRRP,818.0,,0.9065,17.2066,18.9807,134.0,2020-07-01,2023-06-30
MAINE MEDICAL CENTER,200009,ME,READM-30-COPD-HRRP,124.0,,1.0012,17.6828,17.6617,22.0,2020-07-01,2023-06-30
MAINE MEDICAL CENTER,200009,ME,READM-30-CABG-HRRP,240.0,,0.8841,8.3076,9.397,16.0,2020-07-01,2023-06-30
MAINE MEDICAL CENTER,200009,ME,READM-30-AMI-HRRP,695.0,,0.9059,11.0197,12.1641,72.0,2020-07-01,2023-06-30
NORTHERN LIGHT  A R GOULD HOSPITAL,200018,ME,READM-30-PN-HRRP,,,0.947,15.3307,16.1894,,2020-07-01,2023-06-30
NORTHERN LIGHT  A R GOULD HOSPITAL,200018,ME,READM-30-HF-HRRP,83.0,,0.9849,19.3584,19.6559,15.0,2020-07-01,2023-06-30
NORTHERN LIGHT  A R GOULD HOSPITAL,200018,ME,READM-30-COPD-HRRP,,,0.9947,18.0776,18.1744,,2020-07-01,2023-06-30
SOUTHERN MAINE HEALTH CARE,200019,ME,READM-30-PN-HRRP,380.0,,1.0358,15.6966,15.1537,62.0,2020-07-01,2023-06-30
SOUTHERN MAINE HEALTH CARE,200019,ME,READM-30-HF-HRRP,367.0,,0.8723,15.8904,18.216,49.0,2020-07-01,2023-06-30
SOUTHERN MAINE HEALTH CARE,200019,ME,READM-30-COPD-HRRP,,,0.9211,14.7255,15.9871,,2020-07-01,2023-06-30
SOUTHERN MAINE HEALTH CARE,200019,ME,READM-30-AMI-HRRP,,,0.9901,14.1075,14.2479,,2020-07-01,2023-06-30
YORK HOSPITAL,200020,ME,READM-30-PN-HRRP,163.0,,0.9936,13.1382,13.2233,21.0,2020-07-01,2023-06-30
YORK HOSPITAL,200020,ME,READM-30-HF-HRRP,192.0,,0.9386,15.2272,16.2232,25.0,2020-07-01,2023-06-30
YORK HOSPITAL,200020,ME,READM-30-COPD-HRRP,,,0.9939,15.1261,15.2182,,2020-07-01,2023-06-30
YORK HOSPITAL,200020,ME,READM-30-AMI-HRRP,,,0.9824,10.4792,10.6668,,2020-07-01,2023-06-30
MID COAST HOSPITAL,200021,ME,READM-30-PN-HRRP,220.0,,0.9553,13.1692,13.7859,26.0,2020-07-01,2023-06-30
MID COAST HOSPITAL,200021,ME,READM-30-HIP-KNEE-HRRP,,,1.1068,5.6902,5.1413,,2020-07-01,2023-06-30
MID COAST HOSPITAL,200021,ME,READM-30-HF-HRRP,221.0,,0.9425,17.2203,18.2704,34.0,2020-07-01,2023-06-30
MID COAST HOSPITAL,200021,ME,READM-30-COPD-HRRP,,,1.0234,15.3002,14.9508,,2020-07-01,2023-06-30
CENTRAL MAINE MEDICAL CENTER,200024,ME,READM-30-PN-HRRP,,,0.8151,12.912,15.8401,,2020-07-01,2023-06-30
CENTRAL MAINE MEDICAL CENTER,200024,ME,READM-30-HF-HRRP,282.0,,0.9666,18.9264,19.5795,51.0,2020-07-01,2023-06-30
